"lessonId","title","objective","objectives","competencies","skills","outcomes"
"lesson-01","Aula 1: Introdução à Lógica e Algoritmos","Conhecer o funcionamento do curso, alinhar expectativas e compreender por que a lógica é a linguagem dos computadores.","Contextualizar o papel da lógica na resolução de problemas computacionais. | Mapear o funcionamento da disciplina, critérios de avaliação e recursos de apoio. | Experimentar a construção de algoritmos usando passos claros e estruturados.","02 | 05 | 11","Identificar estruturas lógicas presentes em problemas cotidianos e classificá-las como condição, sequência ou repetição. | Descrever passo a passo um algoritmo simples utilizando o ciclo entrada → processamento → saída. | Comunicar expectativas da disciplina, critérios de avaliação e canais de apoio em linguagem objetiva.","Entrega quadro comparativo mapeando pelo menos três situações reais para estruturas lógicas básicas. | Produz algoritmo inicial com entradas, processamento e saídas validadas em dupla com o professor. | Apresenta resumo oral ou escrito explicitando cronograma, instrumentos avaliativos e recursos oferecidos na disciplina."
"lesson-02","Aula 2: Raciocínio Lógico e Operadores","Traduzir situações cotidianas em estruturas lógicas utilizando operadores AND, OR e NOT.","Praticar a decomposição de problemas em passos ordenados. | Reconhecer operadores lógicos e aplicá-los a regras de decisão. | Validar conclusões por meio de tabelas-verdade e simulações.","02 | 05 | 11","Classificar operadores lógicos (E, OU, NÃO) conforme o tipo de decisão exigida pelo problema. | Produzir tabelas-verdade completas que comprovem o comportamento de expressões booleanas. | Documentar em pseudocódigo um algoritmo que combine condições compostas com justificativas de cada ramo.","Apresenta quadro de decomposição destacando decisões, operadores escolhidos e alternativas descartadas. | Resolve ao menos três expressões booleanas verificando resultados com tabelas-verdade anotadas. | Publica pseudocódigo revisado em dupla com comentários que explicam o efeito de cada condição lógica."
"lesson-03","Aula 3: Estruturando Algoritmos","Transformar ideias em sequências claras e ordenadas que possam ser implementadas em linguagem de programação.","Aplicar técnicas de decomposição para mapear processos complexos. | Comparar diferentes representações (texto estruturado, fluxogramas, pseudocódigo). | Identificar e corrigir lacunas em algoritmos propostos.","02 | 05 | 12","Sequenciar instruções em blocos de entrada, processamento e saída mantendo nomes padronizados. | Comparar versões de algoritmos em dinâmicas colaborativas e apontar lacunas ou redundâncias. | Reescrever pseudocódigo incorporando feedback registrado em checklist coletivo.","Entrega algoritmo estruturado com rótulos de blocos e justificativa para a ordem escolhida. | Registra no mural da turma os pontos fortes e ajustes sugeridos para o algoritmo de outra dupla. | Disponibiliza versão revisada destacando trechos alterados após a rodada de feedback."
"lesson-04","Aula 4: Do Pseudocódigo ao Primeiro Programa em C","Conectar o planejamento em linguagem natural/pseudocódigo com a implementação inicial em C.","Relembrar a estrutura padrão de um algoritmo em Portugol. | Mapear cada parte do pseudocódigo para a sintaxe equivalente em C. | Implementar um programa simples em C a partir de um algoritmo planejado.","05 | 08 | 11","Traduzir instruções escritas em Portugol para blocos equivalentes em C garantindo correspondência de variáveis. | Configurar projeto no compilador, compilar e interpretar mensagens de erro para ajustar o código. | Documentar evidências de testes iniciais registrando entradas utilizadas e resultados esperados.","Entrega tabela comparativa destacando trecho em Portugol e versão final em C sem divergências semânticas. | Compila programa no laboratório sem erros e relata as correções aplicadas para eliminar warnings. | Anexa registro de execução com ao menos três cenários testados e respectivas saídas."
"lesson-05","Aula 5: Fluxogramas e Visualização da Lógica","Representar algoritmos usando fluxogramas claros que facilitem a comunicação entre equipe e stakeholders.","Mapear algoritmos simples em fluxogramas legíveis. | Relacionar símbolos padronizados a operações de entrada, processamento e decisão. | Interpretar fluxos produzidos por colegas para validar raciocínios.","02 | 11 | 12","Selecionar símbolos de fluxo adequados para início, decisões, processamento e término. | Alinhar fluxogramas ao pseudocódigo correspondente destacando equivalências entre blocos. | Conduzir revisão em dupla verificando legibilidade, setas e descrições dos caminhos alternativos.","Produz fluxograma completo com legenda de símbolos e validação feita pelo colega. | Apresenta checklist assinado confirmando correspondência entre fluxograma e algoritmo textual. | Registra ajustes realizados após a revisão cruzada em comentário ou nota compartilhada."
"lesson-06","Aula 6: Variáveis, Constantes e Tipos de Dados","Dominar a sintaxe de declaração e atribuição em C para preparar programas que manipulem dados com segurança.","Diferenciar variáveis de constantes e aplicar boas práticas de nomeação. | Selecionar tipos primitivos apropriados para cada informação. | Implementar exemplos simples de leitura, processamento e exibição com validação.","05 | 08 | 11","Declarar variáveis, constantes e tipos coerentes com os dados fornecidos pelo problema. | Validar leituras e escritas utilizando scanf e printf com especificadores compatíveis. | Registrar tabela de testes contendo valores válidos, inválidos e limites para cada variável.","Entrega código comentado que evidencia a escolha de tipos e o uso de constantes nominais. | Demonstra execução correta do programa para dados válidos e sinaliza tratamento de entradas incorretas. | Compartilha planilha ou quadro de testes com resultados observados e ajustes aplicados."
"lesson-07","Aula 7: Operadores e Expressões em C","Construir expressões aritméticas e lógicas corretas em C, respeitando precedência e usando operadores apropriados para cada situação.","Identificar a função das principais categorias de operadores em C. | Aplicar precedência e agrupamento para evitar ambiguidades em expressões. | Interpretar resultados lógicos para alimentar decisões e fluxos de controle.","02 | 05 | 08","Organizar expressões utilizando precedência e parênteses para garantir clareza lógica. | Simular avaliações de expressões passo a passo verificando efeitos de operadores relacionais e lógicos. | Criar casos de teste que comprovem limites e exceções dos cálculos implementados.","Entrega quadro com expressões reescritas e justificativas para o posicionamento de parênteses. | Apresenta tabela de rastreamento com valores intermediários e resultado final de cada expressão. | Disponibiliza conjunto de testes documentados cobrindo entradas típicas, limites e valores inválidos."
"lesson-08","Aula 8: Leituras múltiplas, cálculos encadeados e printf","Construir programas sequenciais completos que recebem múltiplos dados, processam com clareza e exibem resultados formatados.","Construir programas sequenciais em C que realizem múltiplas leituras e saídas formatadas. | Aplicar operações aritméticas encadeadas preservando a ordem correta de execução. | Validar dados lidos com scanf assegurando armazenamento em variáveis adequadas.","05 | 08 | 11","Encadear leituras com scanf garantindo o uso correto de endereços e especificadores. | Organizar variáveis intermediárias para cálculos encadeados mantendo nomes significativos. | Formatar saídas com printf destacando resultados, unidades e mensagens interpretáveis.","Entrega programa que registra ao menos três leituras, cálculos associados e recibo formatado. | Documenta tabela relacionando cada variável a seu papel no fluxo entrada → processamento → saída. | Apresenta vídeo curto ou relatório textual explicando como validar dados extremos e ajustar mensagens."
"lesson-09","Aula 9: Problemas sequenciais aplicados em C","Resolver problemas cotidianos com programas sequenciais em C documentando cada etapa do processo.","Planejar a solução identificando entradas, processamento e saídas de cada caso. | Implementar programas sequenciais com validações simples e formatação clara. | Comparar diferentes problemas para reconhecer padrões reutilizáveis.","05 | 08 | 11","Modelar problemas sequenciais identificando dados de entrada, fórmulas e mensagens de saída. | Implementar algoritmos encadeados em C validando cálculos com amostras reais. | Comunicar resultados em formato de relatório destacando interpretações relevantes.","Entrega solução funcional para estudo de caso proposto com comentários que justificam cada etapa. | Compartilha registro de testes comparando resultados esperados e obtidos para diferentes cenários. | Publica síntese escrita que explica impactos dos números calculados para o contexto do problema."
"lesson-10","Aula 10: Condicionais com if e else","Empregar estruturas if e if-else para alterar o fluxo do programa conforme regras de negócio bem definidas.","Reconhecer situações em que o fluxo sequencial precisa ser desviado por meio de uma condição. | Escrever e testar expressões booleanas que alimentam estruturas if e if-else. | Documentar cada caminho da decisão para garantir clareza e manutenção futura.","02 | 05 | 11","Identificar pontos de decisão que exigem uso de estruturas if e else. | Codificar blocos condicionais com mensagens claras para cada caminho. | Explicar verbalmente ou por escrito o fluxo completo do algoritmo destacando estados finais.","Apresenta diagrama ou tabela que mapeia condições para ações correspondentes. | Entrega código revisado que trata casos verdadeiro e falso com mensagens específicas. | Realiza apresentação curta explicando como o programa responde a pelo menos três entradas diferentes."
